date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:21	101740/101740	---MC-	200	added ('OK')	text/javascript	date:Wed,%2005%20Feb%202014%2013:46:15%20GMT	http://www.gstatic.com/sites/p/0c14db/system/js/jot_caja.js	C:/Users/mmLab/Desktop/ICME2014_20140212/www.gstatic.com/sites/p/0c14db/system/js/jot_caja.js	(from http://www.icme2014.org/)
15:44:22	29260/29260	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/call-for-demonstrations	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/call-for-demonstrations.html	(from http://www.icme2014.org/)
15:44:23	27877/27877	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/keynotes	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/keynotes.html	(from http://www.icme2014.org/)
15:44:23	47776/47776	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/workshops	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/workshops.html	(from http://www.icme2014.org/)
15:44:24	26180/26180	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/doctoral-consortium	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/doctoral-consortium.html	(from http://www.icme2014.org/)
15:44:25	26463/26463	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/industry-advisory-committee-iac	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/industry-advisory-committee-iac.html	(from http://www.icme2014.org/)
15:44:26	27775/27775	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/call-for-industry-program	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/call-for-industry-program.html	(from http://www.icme2014.org/)
15:44:26	28086/28086	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/call-for-industry-sponsors	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/call-for-industry-sponsors.html	(from http://www.icme2014.org/)
15:44:27	35563/35563	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/call-for-grand-challenges	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/call-for-grand-challenges.html	(from http://www.icme2014.org/)
15:44:27	25500/25500	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/grand-challenges	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/grand-challenges.html	(from http://www.icme2014.org/)
15:44:28	39937/39937	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/msr-bing-image-retrieval-challenge	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/msr-bing-image-retrieval-challenge.html	(from http://www.icme2014.org/)
